"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN RABI CONSUMPTION (tons)","PHOSPHATE RABI CONSUMPTION (tons)","POTASH RABI CONSUMPTION (tons)","TOTAL RABI CONSUMPTION (tons)"
"95","1990","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1991","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1992","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1993","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1994","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1995","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1996","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1997","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1998","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1999","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","2000","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","2001","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","2002","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","2003","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","2004","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","2005","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","2006","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","2007","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","2008","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","2011","7","Maharashtra","Bombay","15321.0","5988.0","860.0","22169.0"
"96","1990","7","Maharashtra","Thane","2963.0","763.0","1048.0","4774.0"
"96","1991","7","Maharashtra","Thane","4029.0","1300.0","1298.0","6627.0"
"96","1992","7","Maharashtra","Thane","4029.0","1300.0","1298.0","6627.0"
"96","1993","7","Maharashtra","Thane","2971.0","605.0","471.0","4047.0"
