"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN KHARIF CONSUMPTION (tons)","PHOSPHATE KHARIF CONSUMPTION (tons)","POTASH KHARIF CONSUMPTION (tons)","TOTAL KHARIF CONSUMPTION (tons)"
"95","1990","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1991","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1992","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1993","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1994","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1995","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1996","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1997","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1998","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1999","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","2000","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","2001","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","2002","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","2003","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","2004","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","2005","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","2006","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","2007","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","2008","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","2011","7","Maharashtra","Bombay","16627.0","4516.0","658.0","21801.0"
"96","1990","7","Maharashtra","Thane","5461.0","1070.0","1146.0","7677.0"
"96","1991","7","Maharashtra","Thane","5747.0","922.0","1430.0","8099.0"
"96","1992","7","Maharashtra","Thane","5747.0","922.0","1430.0","8099.0"
"96","1993","7","Maharashtra","Thane","7068.0","370.0","284.0","7722.0"
